date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-14-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-16-2020,4,3,0,0,0,0,4,3,-1,-1,-1,-1
03-17-2020,5,1,0,0,0,0,5,1,-1,-1,-1,-1
03-18-2020,6,1,0,0,0,0,6,1,-1,-1,-1,-1
03-19-2020,9,3,0,0,0,0,9,3,-1,-1,-1,-1
03-20-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-21-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-22-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-23-2020,11,2,0,0,0,0,11,2,-1,-1,-1,-1
03-24-2020,11,0,0,0,0,0,11,0,-1,-1,-1,-1
03-25-2020,12,1,0,0,0,0,12,1,-1,-1,-1,-1
03-26-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-27-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-28-2020,16,4,0,0,0,0,16,4,-1,-1,-1,-1
03-29-2020,16,0,0,0,0,0,16,0,-1,-1,-1,-1
03-30-2020,21,5,0,0,3,3,18,2,-1,-1,-1,-1
03-31-2020,23,2,0,0,4,1,19,1,-1,-1,-1,-1
04-01-2020,26,3,0,0,4,0,22,3,-1,-1,-1,-1
04-02-2020,26,0,0,0,7,3,19,-3,-1,-1,-1,-1
04-03-2020,31,5,0,0,7,0,24,5,-1,-1,-1,-1
04-04-2020,35,4,0,0,7,0,28,4,-1,-1,-1,-1
04-05-2020,38,3,0,0,7,0,31,3,-1,-1,-1,-1
04-06-2020,43,5,1,1,7,0,35,4,-1,-1,-1,-1
04-07-2020,44,1,1,0,7,0,36,1,-1,-1,-1,-1
04-08-2020,52,8,2,1,7,0,43,7,-1,-1,-1,-1
